product_class_id;product_id;brand_name;product_name;SKU;SRP;gross_weight;net_weight;recyclable_package;low_fat;units_per_case;cases_per_pallet;shelf_width;shelf_height;shelf_depth
30;1;Washington;Washington Berry Juice;90748583674;2,85;8,3900003;6,3899999;False;False;30;14;16,9;12,6;7,4000001
52;2;Washington;Washington Mango Drink;96516502499;0,74;7,4200001;4,4200001;False;True;18;8;13,4;3,71;22,6
52;3;Washington;Washington Strawberry Drink;58427771925;0,83;13,1;11,1;True;True;17;13;14,4;11;7,77
19;4;Washington;Washington Cream Soda;64412155747;3,64;10,6;9,6000004;True;False;26;10;22,9;18,9;7,9299998
19;5;Washington;Washington Diet Soda;85561191439;2,19;6,6599998;4,6500001;True;False;7;10;20,700001;21,9;19,200001
19;6;Washington;Washington Cola;29804642796;1,15;15,8;13,8;False;False;14;10;6,4200001;18,1;21,299999
19;7;Washington;Washington Diet Cola;20191444754;2,61;18;17;True;False;11;7;15;16,9;21
30;8;Washington;Washington Orange Juice;89770532250;2,59;8,9700003;6,9699998;True;False;27;7;7,5599999;11,8;8,9200001
30;9;Washington;Washington Cranberry Juice;49395100474;2,42;7,1399999;5,1300001;False;False;34;7;18,5;16,1;14,4
30;10;Washington;Washington Apple Juice;22114084362;1,42;8,1300001;7,1300001;True;False;28;14;21,6;7,3200002;9,1999998
52;11;Washington;Washington Apple Drink;17074288725;3,51;20;19;False;True;3;10;19,4;10,3;20,4
35;12;Jeffers;Jeffers Oatmeal;49031038880;1,54;8,8999996;6,8899999;True;True;14;6;15,9;15,4;10,8
35;13;Jeffers;Jeffers Corn Puffs;13229009509;2,65;10,4;7,3899999;False;False;20;10;18,200001;10,3;14,6
35;14;Jeffers;Jeffers Wheat Puffs;92942813038;1,93;21,6;20,6;True;True;33;10;7,73;6,9400001;8,0100002
35;15;Jeffers;Jeffers Grits;26378549933;2,29;21,299999;20,200001;False;True;14;9;8,96;18,299999;12,4
62;16;Blue Label;Blue Label Canned Beets;62908702492;3,83;21,200001;18,200001;False;True;31;10;19;21,9;9,3900003
62;17;Blue Label;Blue Label Creamed Corn;79484335780;2,99;6,9099998;3,9000001;True;True;34;9;7,8000002;17,799999;8,2600002
62;18;Blue Label;Blue Label Canned String Beans;85252254605;2,67;12,6;10,6;True;False;26;10;8,8699999;5,1799998;13,3
58;19;Blue Label;Blue Label Chicken Soup;47163524031;3,19;15,2;12,1;True;True;35;7;22,6;21,1;16,9
62;20;Blue Label;Blue Label Canned Yams;22169209122;2,78;21,299999;19,200001;False;True;22;8;5,9499998;5,2199998;11,8
58;21;Blue Label;Blue Label Vegetable Soup;43318244814;2,33;19,700001;18,700001;False;True;18;7;11,7;18,799999;11,6
62;22;Blue Label;Blue Label Canned Tomatos;77561696171;2,29;15;14;False;False;31;13;19;8,7299995;5,02
58;23;Blue Label;Blue Label Noodle Soup;32829326987;1,75;10,6;9,6000004;True;False;17;9;19,799999;3,1600001;15,7
58;24;Blue Label;Blue Label Regular Ramen Soup;12408414483;1,73;12,8;10,8;False;True;23;8;20,700001;21,299999;6,98
58;25;Blue Label;Blue Label Chicken Noodle Soup;62032982707;1,55;9,4799995;8,4700003;True;True;21;10;4,98;4,71;22,4
58;26;Blue Label;Blue Label Turkey Noodle Soup;34751966595;0,88;16,5;13,5;True;True;21;11;12,8;11;12
58;27;Blue Label;Blue Label Beef Soup;29712170958;2,65;11,2;8,1899996;False;True;14;12;9,9099998;7,6199999;3,0999999
62;28;Blue Label;Blue Label Canned Peas;61668921113;3,91;21,9;20,799999;True;False;33;9;8,1000004;22;21,5
58;29;Blue Label;Blue Label Chicken Ramen Soup;25866891741;1,78;17,1;16,1;False;False;34;5;6,6100001;19,700001;22,299999
93;30;Blue Label;Blue Label Canned Tuna in Water;93159278035;1,41;9,71;7,71;True;False;31;5;19,5;16,1;6,6100001
93;31;Blue Label;Blue Label Canned Tuna in Oil;50497145056;1,55;17,200001;15,2;True;False;28;12;19,700001;13,6;3,6300001
94;32;Blue Label;Blue Label Large Canned Shrimp;87027297616;2,86;8,8599997;6,8499999;False;False;2;11;8,7299995;3,3399999;13,1
95;33;Blue Label;Blue Label Fancy Canned Anchovies;44581629633;1,36;8,2700005;6,27;False;True;16;5;5,9000001;9,1199999;17,700001
96;34;Blue Label;Blue Label Fancy Canned Clams;50349548459;1,69;16,700001;14,7;True;True;30;9;20,6;14,4;11,9
97;35;Blue Label;Blue Label Fancy Canned Oysters;36162948012;2,21;18,200001;16,200001;False;True;23;5;8,2799997;7,8699999;6,27
98;36;Blue Label;Blue Label Fancy Canned Sardines;11168633103;1,8;14;11;True;False;26;5;17,4;16,700001;19,4
58;37;Blue Label;Blue Label Rice Soup;32317668795;1,59;21;19;True;True;9;6;15,4;17,5;6,6500001
3;38;Green Ribbon;Green Ribbon Canned Mixed Fruit;42658990025;1,31;14;11;True;True;32;8;11,1;17,200001;5,7399998
3;39;Green Ribbon;Green Ribbon Canned Peaches;33045791983;3,11;17,5;15,5;True;False;5;7;10,8;17,700001;9,04
89;40;King;King Rosy Sunglasses;36527009606;0,99;11,7;10,6;True;False;25;13;15,7;12,1;7,6999998
103;41;Queen;Queen Eyeglass Screwdriver;86151577830;0,89;8,6099997;5,5999999;True;False;29;12;18,299999;6,3400002;8,6999998
102;42;Queen;Queen City Map;89849260449;2,82;13,6;11,6;True;False;6;10;3,46;5,5799999;17,1
15;43;Club;Club Low Fat Cottage Cheese;18711594939;1,67;17,700001;15,7;True;False;33;11;15,4;3,71;10,7
14;44;Club;Club Low Fat Sour Cream;50668345093;2,93;10,7;9,6899996;False;True;26;5;21,1;17,9;7,3200002
14;45;Club;Club Sour Cream;14866315722;0,53;13,6;11,6;False;False;9;11;8,5699997;7,3099999;3,27
11;46;Club;Club Jack Cheese;82158702015;3,44;14,4;12,3;True;False;19;7;12,7;20,9;7,4200001
11;47;Club;Club Muenster Cheese;39496569037;2,57;17,799999;15,7;True;False;21;13;22,299999;7,0300002;13,2
11;48;Club;Club String Cheese;76026721596;1,88;6,3099999;3,3;True;True;17;7;5,2199998;18,700001;11,2
11;49;Club;Club Low Fat String Cheese;68700224757;3,38;17;15;False;False;30;12;22,799999;6,48;4,6500001
11;50;Club;Club Havarti Cheese;74468143582;3,95;9,9499998;7,9400001;False;True;36;9;9,9099998;22,9;6,2399998
11;51;Club;Club Head Cheese;24898700118;1,47;8,4099998;5,4000001;False;True;9;11;13,1;7,54;18,6
11;52;Club;Club Cheese Spread;66002255082;2,17;14,5;13,5;True;True;27;13;7,4000001;10,4;6,0599999
11;53;Club;Club Sharp Cheddar Cheese;21053420901;3,61;18,799999;16,700001;True;True;18;9;21,6;18,799999;6,5799999
11;54;Club;Club Mild Cheddar Cheese;31394742131;2,93;9,5799999;7,5700002;False;True;15;14;15,9;11,7;3,8699999
15;55;Club;Club Large Curd Cottage Cheese;21781544089;3,5;14,3;12,3;True;False;20;7;12,3;16,799999;14,2
76;56;Club;Club 2% Milk;25262761712;0,71;20,6;18,6;True;False;21;7;4,0999999;15,3;11,6
76;57;Club;Club Buttermilk;74887329936;0,61;20,1;18,1;False;False;33;6;13,5;8,6899996;16,700001
76;58;Club;Club Chocolate Milk;23704183697;2,31;15,5;13,5;False;False;18;12;10,7;15;13,1
76;59;Club;Club 1% Milk;42566518187;1,4;18,799999;15,7;False;False;1;6;5,5700002;16,299999;22,1
76;60;Club;Club Whole Milk;50621138215;2,66;7,0300002;5,0300002;False;False;2;6;4,4200001;13,3;20,799999
6;61;Club;Club Strawberry Yogurt;93602067828;0,74;13,4;11,3;False;True;22;12;16,299999;11,5;13,8
